Edad Ult Cos,Variedad,Suelo,Zona,Tenencia,Vejez,Destino 1=Semilla,Cod. T.Cultivo,Dist Km,Tipo Quema,T.Corte,Dosis Madurante,Lluvias (2 Meses Ant.),Lluvias Ciclo,Lluvias 0 -3,Lluvias tres a seis,Lluvias seis a nueve,Luvias 9 -FC,M3 Riego,DDUlt.Riego,Período,TCH,%Sac.Caña,Variedad_cod,Suelo_cod,Zona_cod,Tipo Quema_cod,T.Corte_cod
14.59,CC85-92,JAMAICA,IP05,11.0,3.392,0,1.0,34.7,VERDE,MECANIZADO,1.7,39.0,859.0,65.0,226.0,165.0,403.0,14688.0,185,201709,146.200603,13.3358,34,43,4,4,1
15.24,RB73-2223,CERRITO-NIMA,IP01,11.0,2.498,0,1.0,9.5,Q.PROGRAMADA,MANUAL,1.0,116.0,3027.0,150.0,912.0,536.0,1429.0,10800.0,122,201709,155.638655,12.9768,51,14,1,2,0
14.55,RB73-2223,CERRITO-NIMA,IP01,11.0,2.498,0,1.0,9.5,Q.PROGRAMADA,MANUAL,1.0,89.0,2023.0,106.0,556.0,393.0,968.0,0.0,0,201709,149.508869,12.671,51,14,1,2,0
12.68,CC93-4418,PALMIRITA ,IP05,51.0,51.105,0,1.0,34.7,Q.ACCIDENTAL,MECANIZADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201709,124.159024,12.1259,40,70,4,1,1
13.83,CC93-4181,DESCONOCIDO,IP05,81.0,2.7075,0,1.0,30.5,NO DEF.,MECANIZADO,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201709,121.106203,11.807,39,22,4,0,1
8.28,RB73-2223,CERRITO ,IP01,11.0,64.255,0,1.0,9.5,Q.ACCIDENTAL,MANUAL,0.0,116.0,1773.0,838.0,819.0,116.0,0.0,34398.0,11,201709,61.09,11.566,51,13,1,1,0
7.46,RB73-2223,GALPON ,IP06,31.0,64.886,0,1.0,17.0,Q.ACCIDENTAL,MANUAL,0.0,39.0,603.0,390.0,188.0,25.0,0.0,9734.4,26,201709,69.055555,10.8142,51,32,5,1,0
17.54,CC85-92,JUANCHITO ,IP03,51.0,2.429,0,1.0,32.2,VERDE,MECANIZADO,0.0,99.0,1341.0,447.0,101.0,234.0,559.0,0.0,0,201709,117.22,10.662,34,48,3,4,1
17.64,CC85-92,GUABITO,IP03,51.0,2.844,0,1.0,32.2,VERDE,MECANIZADO,0.0,99.0,1341.0,447.0,101.0,234.0,559.0,0.0,0,201709,111.650337,10.6202,34,36,3,4,1
13.7,CC01-1940,SAN LORENZO,IP03,51.0,2.445,0,1.0,19.8,VERDE,MECANIZADO,1.2,23.0,955.0,262.0,148.0,210.0,335.0,0.0,0,201709,168.432055,13.1334,6,88,3,4,1
