variedad,edad,cortes,lluvias,grupo_tenencia,pct_diatrea,tipocorte,madurada,dosismad,semsmad,vejez,mes,me,TCH,sacarosa,nivel_TCH,nivel_sacarosa,variedad_cod,tipocorte_cod,madurada_cod,nivel_TCH_num,nivel_sacarosa_num
CC01-1940,12.3,2,0,3,3.2,Mecanizado Verde,SI,1.0,7.1,2.6,10,9.7,174,13.5,Alto,Alto,0,0,0,2,2
CC01-1940,13.2,3,0,3,3.5,Mecanizado Verde,SI,0.8,8.9,2.4,12,10.1,175,12.8,Alto,Medio,0,0,0,2,1
CC01-1940,12.9,4,150,3,2.7,Mecanizado Verde,SI,0.8,10.0,3.5,1,11.5,164,12.7,Alto,Medio,0,0,0,2,1
CC01-1940,12.4,2,0,3,3.2,Mecanizado Verde,SI,1.0,7.1,3.4,10,9.3,154,13.2,Alto,Alto,0,0,0,2,2
CC01-1940,13.2,3,0,3,5.1,Mecanizado Verde,SI,0.8,8.9,2.3,12,10.0,149,12.6,Medio,Medio,0,0,0,1,1
CC01-1940,12.9,4,150,3,2.7,Mecanizado Verde,SI,0.8,10.1,2.8,1,9.4,163,13.0,Alto,Medio,0,0,0,2,1
CC01-1940,13.3,1,115,3,1.5,Mecanizado Verde,SI,0.8,9.6,2.6,10,8.9,166,14.0,Alto,Alto,0,0,0,2,2
CC01-1940,17.3,1,767,2,2.8,Mecanizado Verde,SI,1.5,27.4,3.3,8,7.0,190,12.1,Alto,Bajo,0,0,0,2,0
CC01-1940,11.8,2,47,2,3.4,Mecanizado Verde,SI,1.5,7.7,3.6,8,7.6,152,12.4,Medio,Bajo,0,0,0,1,0
CC01-1940,11.3,4,61,2,2.8,Mecanizado Verde,SI,0.8,6.1,2.8,7,9.7,157,11.2,Alto,Bajo,0,0,0,2,0
CC01-1940,11.9,3,109,2,3.1,Mecanizado Verde,SI,1.4,6.1,2.7,10,8.6,93,12.7,Bajo,Medio,0,0,0,0,1
CC01-1940,12.7,4,218,2,3.1,Mecanizado Verde,SI,0.8,9.3,2.2,11,10.0,110,13.4,Bajo,Alto,0,0,0,0,2
CC01-1940,11.2,2,0,3,4.4,Mecanizado Verde,SI,1.0,5.7,3.5,5,9.8,35,12.9,Bajo,Medio,0,0,0,0,1
CC01-1940,13.0,5,0,3,4.4,Mecanizado Verde,SI,0.8,11.6,3.8,1,10.4,121,13.1,Bajo,Medio,0,0,0,0,1
CC01-1940,12.6,3,0,3,4.3,Mecanizado Verde,SI,1.2,6.7,3.2,5,9.2,140,11.2,Medio,Bajo,0,0,0,1,0
CC01-1940,12.6,4,0,3,4.2,Mecanizado Verde,SI,1.4,5.1,2.9,5,8.2,104,12.2,Bajo,Bajo,0,0,0,0,0
CC01-1940,13.4,5,0,3,4.4,Mecanizado Verde,SI,0.8,14.6,9.8,12,9.1,88,12.0,Bajo,Bajo,0,0,0,0,0
CC01-1940,13.0,6,0,3,4.4,Mecanizado Verde,SI,0.8,11.4,3.6,1,8.5,101,13.2,Bajo,Alto,0,0,0,0,2
CC01-1940,12.0,1,0,3,3.2,Mecanizado Verde,SI,0.5,2.9,3.0,6,10.1,166,11.2,Alto,Bajo,0,0,0,2,0
CC01-1940,12.2,2,0,3,6.8,Mecanizado Verde,SI,0.8,8.3,2.8,6,10.8,126,11.4,Bajo,Bajo,0,0,0,0,0
CC01-1940,12.2,2,0,3,6.8,Mecanizado Verde,SI,0.8,8.0,2.9,6,10.0,139,12.2,Medio,Bajo,0,0,0,1,0
CC01-1940,13.7,3,0,3,4.3,Mecanizado Verde,SI,1.2,11.7,2.8,6,8.9,147,12.0,Medio,Bajo,0,0,0,1,0
CC01-1940,11.5,4,0,3,4.1,Mecanizado Verde,SI,1.4,5.3,3.1,5,7.3,117,12.0,Bajo,Bajo,0,0,0,0,0
CC01-1940,11.3,5,0,3,3.2,Mecanizado Verde,SI,1.0,5.4,3.6,5,7.4,100,13.6,Bajo,Alto,0,0,0,0,2
CC01-1940,13.6,3,0,3,4.3,Mecanizado Verde,SI,1.2,11.9,2.8,6,9.5,150,12.3,Medio,Bajo,0,0,0,1,0
CC01-1940,11.5,4,0,3,4.1,Mecanizado Verde,SI,1.4,5.3,2.9,5,8.0,99,13.3,Bajo,Alto,0,0,0,0,2
CC01-1940,12.7,2,0,3,9.5,Mecanizado Verde,SI,1.2,6.9,35.6,5,9.2,146,12.2,Medio,Bajo,0,0,0,1,0
CC01-1940,12.6,3,0,3,4.1,Mecanizado Verde,SI,1.4,5.0,2.9,5,8.8,104,12.9,Bajo,Medio,0,0,0,0,1
